0,1,2
Broadcasting Technology,40000,88700
Food Science,49900,88700
Marketing & Communications,46600,88700
Urban Planning,48100,88500
Manufacturing Management,60400,88500
Insurance,53000,88400
Business Data Analysis,60400,88300
Environmental Design,45400,88300
Advertising,44800,88200
Cinema Studies,45400,88200
Financial Management,51000,88200
Advertising & Marketing Communications,46000,88100
Operations & Supply Chain Management,57800,88100
Computer Information Management,46800,88000
Global & International Studies,45900,87800
Computing & Information Systems (CIS),50800,87800
Architecture,48300,87800
Environmental & Natural Resource Economics,49100,87600
Labor Studies,44100,87500
Aviation Technology,52600,87400
Social Ecology,46700,87400
Classics,45000,87300
Marketing Communication,43600,87300
Geographic Information Systems (GIS) & Spatial Analysis,51700,87200
Organizational Psychology,48300,87200
European History,49700,87100
Urban & Regional Planning,47500,87000
Real Estate Development,54400,86800
Applied Technology,52900,86700
Entomology,44000,86700
Architectural Engineering Technology,49900,86600
Public Affairs,49700,86600
Entrepreneurship,51400,86500
Business Management & Marketing,45800,86400
Digital Arts,43200,86300
Industrial Safety,53200,86200
Logistics,54800,86200
Hotel Management,44500,86100
Cell & Molecular Biology,48900,86000
Global Business Management,53200,86000
Technical Management,57800,85900
Computer & Network Administration,54100,85900
Police Science,53400,85800
Pre-law,44700,85800
Business Communication,47600,85600
Microbiology,46200,85600
Professional Aeronautics,57700,85600
Advertising & Promotion,42400,85500
Network Systems Administration,53500,85400
Construction Technology,55500,85300
Electronic & Computer Technology,61300,85000
Marketing & Advertising,47200,85000
Electronic Systems Technology (EST),61800,84900
International Studies,47500,84800
Construction Engineering Technology,53000,84700
Applied Science,44100,84600
Accounting Information Systems,60000,84500
Environmental Health,48100,84500
Technology,53400,84500
Biosystems Engineering,62000,84200
Fashion Design,44800,84100
Agribusiness Management,47600,84000
German Language,48200,84000
Professional Pilot Education,59800,83900
Textile Technology,51500,83900
Manufacturing Systems,71700,83600
Diagnostic Medical Ultrasound,60800,83500
Marketing & Mass Communications,41800,83500
General Business,47600,83400
Computer Graphics Technology (CGT),46800,83400
Agricultural Systems Technology,54000,83300
Health Care,41700,83300
Hospital Administration,49600,83300
Personal Financial Planning,51200,83300
Business Technology Management,52900,83200
Health Policy & Administration,48300,83100
Math & Science,54400,82900
Architectural Design,46000,82800
Environmental Science,46500,82800
Advertising & Marketing,46300,82700
Animation,43100,82700
General Science,46900,82600
Biology & Chemistry,46700,82500
American Studies,49000,82400
Product Design Engineering,61500,82400
Aviation Maintenance Technology,49800,82300
Film Studies,42500,82300
Magazine Journalism,44500,82300
Web & Digital Media Development,48400,82200
Digital Media Design,45200,82000
English Literature,45400,82000
History & Politics,47200,82000
Human Biology,48400,82000
Business Management & Human Resources Management (HRM),44700,81900
Architectural Technology,44700,81900
Design,49400,81900
Philosophy & Religion,41800,81900
Physiology,46900,81900
Business Administration,49700,81700
French Studies,49500,81700
Land Surveying,48700,81700
Management,49000,81600
Geographic Information Systems (GIS),47100,81500
Interactive Media Design,51800,81500
Architectural Studies,43100,81400
Business Administration & Accounting,50300,81300
Industrial Arts,46500,81300
Textile Design,47400,81200
Textile & Apparel Studies,43800,81100
Accounting & Management,49700,81000
Nursing Science,63700,80900
Business Management,48800,80800
Linguistics,49300,80800
Agronomy,49100,80700
Corporate Communications,45300,80700
Neuroscience,47800,80700
Communication Studies & Journalism,42500,80600
Sociology & Organizational Studies,48200,80500
Nursing,61700,80400
Toxicology,43800,80300
History,45300,80300
Agricultural Science,46900,80300
Biology,44500,80200
Crop Science,45200,80200
